features,varimp
Column_15,4397
Column_25,4356
Column_14,4317
Column_4,3299
Column_21,2809
Column_22,2721
Column_30,2615
Column_47,2547
Column_39,2509
Column_11,2499
Column_43,2342
Column_10,2318
Column_48,2249
Column_40,2005
Column_44,1913
Column_13,1850
Column_55,1838
Column_33,1832
Column_16,1769
Column_117,1684
Column_104,1628
Column_3,1486
Column_57,1443
Column_51,1408
Column_42,1371
Column_52,1366
Column_118,1343
Column_32,1328
Column_109,1303
Column_96,1302
Column_91,1234
Column_41,1142
Column_23,1123
Column_112,1071
Column_6,1065
Column_56,1059
Column_122,1035
Column_84,990
Column_105,929
Column_99,922
Column_59,921
Column_5,910
Column_31,895
Column_49,829
Column_113,820
Column_29,778
Column_12,744
Column_17,712
Column_46,687
Column_9,634
Column_34,586
Column_100,559
Column_26,506
Column_92,498
Column_58,486
Column_28,476
Column_106,456
Column_50,453
Column_114,438
Column_93,423
Column_35,421
Column_123,390
Column_85,387
Column_36,344
Column_120,316
Column_60,287
Column_119,282
Column_2,281
Column_0,270
Column_45,270
Column_37,253
Column_107,240
Column_101,225
Column_110,220
Column_24,217
Column_18,208
Column_19,207
Column_27,197
Column_38,183
Column_87,92
Column_20,62
Column_94,62
Column_53,59
Column_108,38
Column_86,36
Column_1,29
Column_111,29
Column_121,27
Column_124,22
Column_97,15
Column_7,15
Column_88,12
Column_8,4
Column_95,4
Column_98,1
Column_125,0
Column_150,0
Column_144,0
Column_143,0
Column_133,0
Column_142,0
Column_141,0
Column_140,0
Column_139,0
Column_138,0
Column_137,0
Column_136,0
Column_135,0
Column_134,0
Column_132,0
Column_148,0
Column_131,0
Column_130,0
Column_129,0
Column_128,0
Column_145,0
Column_146,0
Column_127,0
Column_126,0
Column_147,0
Column_149,0
Column_76,0
Column_116,0
Column_115,0
Column_54,0
Column_61,0
Column_62,0
Column_63,0
Column_64,0
Column_65,0
Column_66,0
Column_67,0
Column_68,0
Column_69,0
Column_70,0
Column_71,0
Column_72,0
Column_73,0
Column_74,0
Column_75,0
Column_77,0
Column_78,0
Column_79,0
Column_80,0
Column_81,0
Column_82,0
Column_83,0
Column_89,0
Column_90,0
Column_102,0
Column_103,0
Column_151,0
