features,varimp,,,,,,
Column_30,1042,,,23,2276515,,
Column_14,1041,,,31,1985294,,
Column_25,998,,,22,1865361,,
Column_4,971,,,15,1604951,,
Column_15,917,,,4,1296750,,
Column_11,768,,,16,1249376,,
Column_39,666,,,32,1130564,,
Column_21,652,,,5,952920,,
Column_3,606,,,40,730378,,
Column_10,587,,,28,544306,,
Column_13,548,,,27,540804,,
Column_22,503,,,26,536401,,
Column_16,420,,,12,320181,,
Column_32,409,,,11,307030,,
Column_33,355,,,14,252015,,
Column_40,339,,,33,178477,,
Column_41,325,,,34,165536,,
Column_23,259,,,10,133403,,
Column_29,253,,,41,104138,,
Column_6,252,,,7,51993,,
Column_17,237,,,6,50482,,
Column_34,206,,,17,46009,,
Column_9,204,,,24,39071,,
Column_45,197,,,42,34374,,
Column_12,196,,,3,30758,,
Column_26,192,,,2,26106,,
Column_36,173,,,13,22843,,
Column_0,156,,,1,21545,,
Column_31,150,,,39,15820,,
Column_5,130,,,35,10187,,
Column_42,129,,,37,9336,,
Column_27,128,,,36,9317,,
Column_44,117,,,38,4539,,
Column_35,115,,,18,2671,,
Column_2,70,,,20,2080,,
Column_24,70,,,25,1184,,
Column_37,68,,,19,664,,
Column_38,66,,,21,607,,
Column_19,54,,,30,402,,
Column_18,38,,,8,166,,
Column_7,22,,,9,109,,
Column_20,21,,,Name:,"errtype,",dtype:,int64
Column_1,16,,,,,,
Column_8,7,,,,,,
Column_43,0,,,,,,
Column_28,0,,,,,,
